Timestamp,Rec_BufferSet,Detection_ID,Gallery_ID,Label,Center_X,Center_Y
2025-01-14 04:12:22.749747,757,1,1,nd,437,130
2025-01-14 04:12:22.824714,758,1,1,nd,438,130
2025-01-14 04:12:22.878309,759,1,1,nd,438,131
2025-01-14 04:12:22.943052,760,1,1,nd,438,131
2025-01-14 04:12:23.022966,761,1,1,nd,438,131
2025-01-14 04:12:23.080159,762,1,1,nd,438,132
2025-01-14 04:12:23.146333,763,1,1,nd,438,132
2025-01-14 04:12:23.219264,764,1,1,nd,438,132
2025-01-14 04:12:23.284302,765,1,1,nd,438,132
2025-01-14 04:12:23.348657,766,1,1,nd,437,133
2025-01-14 04:12:23.410324,767,1,1,nd,430,138
2025-01-14 04:12:23.499314,768,1,1,nd,413,135
2025-01-14 04:12:23.550503,769,1,1,nd,394,132
2025-01-14 04:12:23.616692,770,1,1,nd,377,134
2025-01-14 04:12:23.674127,771,1,1,nd,360,150
2025-01-14 04:12:23.749615,772,1,1,nd,343,164
2025-01-14 04:12:23.811427,773,1,1,nd,330,177
2025-01-14 04:12:23.877035,774,1,1,nd,324,188
2025-01-14 04:12:23.961681,775,1,1,nd,321,197
2025-01-14 04:12:24.011141,776,1,1,nd,320,201
2025-01-14 04:12:24.082481,777,1,1,nd,319,204
2025-01-14 04:12:24.144536,778,1,1,nd,319,205
2025-01-14 04:12:24.214977,779,1,1,nd,319,205
2025-01-14 04:12:24.287810,780,1,1,nd,319,205
2025-01-14 04:12:24.345087,781,1,1,nd,319,204
2025-01-14 04:12:24.414411,782,1,1,nd,319,204
2025-01-14 04:12:24.476298,783,1,1,nd,320,204
2025-01-14 04:12:24.545612,784,1,1,nd,320,204
2025-01-14 04:12:24.617206,785,1,1,nd,320,204
2025-01-14 04:12:24.676905,786,1,1,nd,321,204
2025-01-14 04:12:24.749199,787,1,1,nd,321,204
2025-01-14 04:12:24.813782,788,1,1,nd,321,204
2025-01-14 04:12:24.875762,789,1,1,nd,321,203
2025-01-14 04:12:24.945082,790,1,1,nd,321,203
2025-01-14 04:12:25.016261,791,1,1,nd,321,203
2025-01-14 04:12:25.080766,792,1,1,nd,321,203
2025-01-14 04:12:25.145921,793,1,1,nd,321,203
2025-01-14 04:12:25.219977,794,1,1,nd,321,202
2025-01-14 04:12:25.280188,795,1,1,nd,321,202
2025-01-14 04:12:25.352021,796,1,1,nd,322,203
2025-01-14 04:12:25.421572,797,1,1,nd,323,204
2025-01-14 04:12:25.482841,798,1,1,nd,324,205
2025-01-14 04:12:25.561979,799,1,1,nd,325,206
2025-01-14 04:12:25.615119,800,1,1,nd,327,207
2025-01-14 04:12:25.686905,801,1,1,nd,330,211
2025-01-14 04:12:25.749474,802,1,1,nd,334,213
2025-01-14 04:12:25.814191,803,1,1,nd,338,214
2025-01-14 04:12:25.877898,804,1,1,nd,341,215
2025-01-14 04:12:25.951825,805,1,1,nd,344,215
2025-01-14 04:12:26.016059,806,1,1,nd,345,214
2025-01-14 04:12:26.078606,807,1,1,nd,346,214
2025-01-14 04:12:26.148691,808,1,1,nd,347,214
2025-01-14 04:12:26.219756,809,1,1,nd,347,215
2025-01-14 04:12:26.277907,810,1,1,nd,347,215
2025-01-14 04:12:26.343584,811,1,1,nd,344,215
2025-01-14 04:12:26.421662,812,1,1,nd,341,215
2025-01-14 04:12:26.477432,813,1,1,nd,338,214
2025-01-14 04:12:26.553961,814,1,1,nd,333,210
2025-01-14 04:12:26.617643,815,1,1,nd,329,207
2025-01-14 04:12:26.679476,816,1,1,nd,325,206
2025-01-14 04:12:26.748180,817,1,1,nd,322,206
2025-01-14 04:12:26.814459,818,1,1,nd,319,210
2025-01-14 04:12:26.886213,819,1,1,nd,314,212
2025-01-14 04:12:26.954863,820,1,1,nd,311,214
2025-01-14 04:12:27.014137,821,1,1,nd,307,215
2025-01-14 04:12:27.086019,822,1,1,nd,302,213
2025-01-14 04:12:27.165344,823,1,1,nd,300,213
2025-01-14 04:12:27.215249,824,1,1,nd,300,214
2025-01-14 04:12:27.293386,825,1,1,nd,299,213
2025-01-14 04:12:27.350747,826,1,1,nd,298,212
2025-01-14 04:12:27.416182,827,1,1,nd,299,212
2025-01-14 04:12:27.479004,828,1,1,nd,298,212
2025-01-14 04:12:27.563736,829,1,1,nd,299,212
2025-01-14 04:12:27.633970,830,1,1,nd,300,212
2025-01-14 04:12:27.688310,831,1,1,nd,302,213
2025-01-14 04:12:27.758558,832,1,1,nd,304,214
2025-01-14 04:12:27.824308,833,1,1,nd,304,213
2025-01-14 04:12:27.881373,834,1,1,nd,305,214
2025-01-14 04:12:27.949202,835,1,1,nd,305,214
2025-01-14 04:12:28.022015,836,1,1,nd,306,214
2025-01-14 04:12:28.085991,837,1,1,nd,307,214
2025-01-14 04:12:28.148652,838,1,1,nd,307,214
2025-01-14 04:12:28.214080,839,1,1,nd,308,214
2025-01-14 04:12:28.276504,840,1,1,nd,308,214
2025-01-14 04:12:28.344088,841,1,1,nd,308,213
2025-01-14 04:12:28.427200,842,1,1,nd,308,214
2025-01-14 04:12:28.478456,843,1,1,nd,308,214
2025-01-14 04:12:28.548241,844,1,1,nd,307,214
2025-01-14 04:12:28.615445,845,1,1,nd,307,214
2025-01-14 04:12:28.684671,846,1,1,nd,306,214
2025-01-14 04:12:28.749500,847,1,1,nd,306,214
2025-01-14 04:12:28.812964,848,1,1,nd,306,214
2025-01-14 04:12:28.882380,849,1,1,nd,305,214
